mpaSize,attr,biomass,catch
0.05,1,26066.14563060616,2963.8724757318546
0.1,1,25852.06783277543,2953.830435316245
0.15000000000000002,1,26081.226220275916,2957.472112996606
0.2,1,27035.923629060697,2988.947514224442
0.25,1,28036.056514467535,3020.146709149244
0.3,1,30375.696862675286,3078.9414494687203
0.35000000000000003,1,32546.09580438432,3126.109475897799
0.4,1,35007.02753797971,3158.900407284222
0.05,3,30902.625138492513,3129.908854748179
0.1,3,34331.53687926468,3200.9041756185543
0.15000000000000002,3,37371.83878518593,3238.8804039909587
0.2,3,40169.14415730484,3254.243544492425
0.25,3,42787.851015148284,3252.548515359134
0.3,3,45275.68871901322,3237.148938950912
0.35000000000000003,3,47570.43181543518,3212.4817503534764
0.4,3,49713.95302944922,3180.0357634628685
0.05,9,35335.996479357105,3220.2078688446986
0.1,9,41330.32010064837,3264.5157464493536
0.15000000000000002,9,46226.13640904735,3243.2104000827953
0.2,9,50466.92495918111,3187.3783258411495
0.25,9,54240.3414292582,3111.0485665333513
0.3,9,57649.428378079385,3022.0055393845714
0.35000000000000003,9,60342.79726793035,2941.0290401566012
0.4,9,62530.15745703251,2866.7098393641327
0.05,15,38812.39950087937,3257.0013715919326
0.1,15,46475.70951104509,3241.1694949544894
0.15000000000000002,15,52530.08743450456,3147.6445318786205
0.2,15,57608.34884676909,3021.4000587769565
0.25,15,61974.77697818904,2881.5781773009353
0.3,15,65791.293507168215,2737.71111718866
0.35000000000000003,15,68619.91585310647,2621.5884462464533
0.4,15,70772.0270186048,2524.92249507691
