adultMove,farmSize,biomass,catch
0,1,38247.08067508222,2668.9491459849737
5,1,43297.1831874968,4572.325627530902
10,1,40080.293937718714,4485.491276861044
15,1,37093.875294076686,4323.666343496181
20,1,35092.98934931301,4195.446301629701
25,1,33742.3505473034,4100.939147268734
30,1,32790.847228085884,4030.5998803360912
35,1,32097.249522692662,3976.426745743784
40,1,31578.6864582895,3935.0950068327434
45,1,31160.530571587296,3901.588462639358
50,1,30815.771386628665,3873.7469875375614
55,1,30528.915287801232,3850.443796077203
60,1,30288.939733159074,3830.8682166950466
65,1,30087.542444693394,3814.3891206737094
70,1,29917.922709008533,3800.4798425542417
75,1,29774.503278637887,3788.7004840708832
80,1,29652.70835275155,3778.685257703849
0,2,38271.24885717017,2668.5673149211907
5,2,35556.0242521893,4109.954248305913
10,2,37101.6804725519,4317.606905224459
15,2,35351.500003372166,4224.251817787421
20,2,33920.725262207765,4127.787452283087
25,2,32891.706803705456,4051.87385403023
30,2,32148.30542003934,3992.7070580841673
35,2,31589.859007568208,3947.4342344173956
40,2,31133.964499331458,3910.239340565137
45,2,30755.804907814298,3879.1060122463514
50,2,30438.557562709306,3852.7954605787895
55,2,30170.935427023483,3830.485637780397
60,2,29944.512835445294,3811.5469243120388
65,2,29752.62376053183,3795.4623333040577
70,2,29589.719355112604,3781.7884363332423
75,2,29451.10010728142,3770.142018417107
80,2,29332.782533135993,3760.194407991814
0,5,38489.406501933976,2664.846402925274
5,5,33088.31933965245,3447.9874430106165
10,5,31930.572444722315,3751.3613917125817
15,5,32123.026794304926,3866.4906444395906
20,5,31925.165470400036,3898.7709000568343
25,5,31712.526332898837,3900.8122378037056
30,5,31478.946495828688,3890.8167137928167
35,5,31226.886692594642,3875.2608460676865
40,5,30991.835094030856,3859.2031070676835
45,5,30784.087753636064,3844.3081584152615
50,5,30601.986727178453,3830.858115084408
55,5,30442.210782458435,3818.8348924233487
60,5,30302.257530586176,3808.1864401419234
65,5,30180.226501490197,3798.8429719826318
70,5,30074.3211685954,3790.7052216009956
75,5,29982.72050729255,3783.6517366308526
80,5,29903.576510885665,3777.5499187237965
0,10,39213.02562870556,2651.9307213152792
5,10,36230.97438198231,3155.7700614085
10,10,31417.422868944774,3392.936691244542
15,10,29802.85448976829,3480.097787585281
20,10,29280.63754524726,3542.313058249388
25,10,29185.16375477117,3595.5449877201613
30,10,29298.161763418124,3642.176757255753
35,10,29497.545751578797,3680.446814184279
40,10,29701.697715027472,3709.548061028321
45,10,29867.723348493968,3729.951761693066
50,10,29983.90942888138,3743.241140744458
55,10,30056.407960952038,3751.4016698504524
60,10,30097.280875719305,3756.198908472719
65,10,30117.706504726506,3758.923993040631
70,10,30125.840448162115,3760.4182291311095
75,10,30126.961647541066,3761.194720485168
80,10,30124.271613099485,3761.5560963604103
0,20,41071.596739688925,2596.7209545807164
5,20,39885.12770884418,2874.422944987203
10,20,33488.93083606062,3193.171571970662
15,20,30648.119319547295,3274.0075448150246
20,20,28976.420018016415,3310.3003084152697
25,20,27977.825380196053,3336.1688554686425
30,20,27428.96291865622,3363.3356462755833
35,20,27212.923456526387,3395.8409369570563
40,20,27246.61640214976,3433.8204082557213
45,20,27448.911703159192,3474.685122121488
50,20,27740.302330375027,3514.7843726945703
55,20,28057.178243268918,3551.2356176391963
60,20,28360.107721605233,3582.6841358236034
65,20,28630.513716592763,3608.9764364184803
70,20,28863.070454284134,3630.606617090423
75,20,29059.345241783492,3648.297419852339
80,20,29223.630493712073,3662.7692970612698
